,Rank,Artist,Song,Year
4587,84,Janet Jackson,Runaway,1996
4588,85,Planet Soul,Set U Free,1996
4589,86,New Edition,Hit Me Off,1996
4590,87,Total,No One Else,1996
4591,88,Ghost Town Dj’s,My Boo,1996
4592,89,Junior M.A.F.I.A.,Get Money,1996
4593,90,Maxi Priest feat. Shaggy,That Girl,1996
4594,91,Do Or Die,Po Pimp,1996
4595,92,Metallica,Until It Sleeps,1996
4596,93,Crucial Conflict,Hay,1996
4597,94,Ace Of Base,Beautiful Life,1996
4598,95,Take That,Back For Good,1996
4599,96,Pearl Jam,I Got Id / Long Road,1996
4600,97,Faith Evans,Soon As I Get Home,1996
4601,98,Los Del Rio,Macarena,1996
4602,99,Hootie and The Blowfish,Only Wanna Be With You,1996
4603,100,Seal,Don’t Cry,1996
4604,1,Elton John,Candle In The Wind 1997,1997
4605,2,Jewel,Foolish Games / You Were Meant For Me,1997
4606,3,Puff Daddy and Faith Evans,I’ll Be Missing You,1997
4607,4,Toni Braxton,Un-Break My Heart,1997
4608,5,Puff Daddy,Can’t Nobody Hold Me Down,1997
4609,6,R. Kelly,I Believe I Can Fly,1997
4610,7,En Vogue,Don’t Let Go (Love),1997
4611,8,Mark Morrison,Return Of The Mack,1997
4612,9,LeAnn Rimes,How Do I Live,1997
4613,10,Spice Girls,Wannabe,1997
4614,11,Backstreet Boys,Quit Playing Games (With My Heart),1997
4615,12,Hanson,MMMBop,1997
4616,13,Monica,For You I Will,1997
4617,14,Usher,You Make Me Wanna…,1997
4618,15,Meredith Brooks,Bitch,1997
4619,16,Keith Sweat,Nobody,1997
4620,17,Third Eye Blind,Semi-Charmed Life,1997
4621,18,Duncan Sheik,Barely Breathing,1997
4622,19,Az Yet feat. Peter Cetera,Hard To Say I’m Sorry,1997
4623,20,Notorious B.I.G.,Mo Money Mo Problems,1997
4624,21,Verve Pipe,The Freshmen,1997
4625,22,Savage Garden,I Want You,1997
4626,23,BLACKstreet feat. Dr. Dre,No Diggity,1997
4627,24,Rome,I Belong To You (Every Time I See Your Face),1997
4628,25,Notorious B.I.G.,Hypnotize,1997
4629,26,Babyface,Every Time I Close My Eyes,1997
4630,27,Dru Hill,In My Bed,1997
4631,28,Spice Girls,Say You’ll Be There,1997
4632,29,Robyn,Do You Know (What It Takes),1997
4633,30,Boyz II Men,4 Seasons Of Loneliness,1997
4634,31,Changing Faces,G.H.E.T.T.O.U.T.,1997
4635,32,Mariah Carey,Honey,1997
4636,33,Whitney Houston,I Believe In You And Me,1997
4637,34,Freaknasty,Da’ Dip,1997
4638,35,Spice Girls,2 Become 1,1997
4639,36,Sister Hazel,All For You,1997
4640,37,112,Cupid,1997
4641,38,Paula Cole,Where Have All The Cowboys Gone?,1997
4642,39,Shawn Colvin,Sunny Came Home,1997
4643,40,Tim McGraw and Faith Hill,It’s Your Love,1997
4644,41,Gina G,Ooh Aah… Just A Little Bit,1997
4645,42,Merril Bainbridge,Mouth,1997
4646,43,Allure feat. 112,All Cried Out,1997
4647,44,New Edition,I’m Still In Love With You,1997
4648,45,98 Degrees,Invisible Man,1997
4649,46,Lil’ Kim,Not Tonight,1997
4650,47,Bone Thugs-N-Harmony,Look Into My Eyes,1997
4651,48,702,Get It Together,1997
4652,49,Celine Dion,All By Myself,1997
4653,50,Celine Dion,It’s All Coming Back To Me Now,1997
4654,51,Somethin’ For The People,My Love Is The Shhh!,1997
4655,52,No Mercy,Where Do You Go,1997
4656,53,Barbra Streisand and Bryan Adams,I Finally Found Someone,1997
4657,54,Foxy Brown feat. Jay-Z,I’ll Be,1997
4658,55,Sheryl Crow,If It Makes You Happy,1997
4659,56,Dru Hill,Never Make A Promise,1997
4660,57,Journey,When You Love A Woman,1997
4661,58,Magoo And Timbaland,Up Jumps Da Boogie,1997
4662,59,Toni Braxton,I Don’t Want To / I Love Me Some Him,1997
4663,60,Sheryl Crow,Everyday Is A Winding Road,1997
4664,61,Mc Lyte,Cold Rock A Party,1997
4665,62,Ginuwine,Pony,1997
4666,63,Sarah McLachlan,Building A Mystery,1997
4667,64,Donna Lewis,I Love You Always Forever,1997
4668,65,White Town,Your Woman,1997
4669,66,Coolio,C U When U Get There,1997
4670,67,Eric Clapton,Change The World,1997
4671,68,B-Rock and The Bizz,My Baby Daddy,1997
4672,69,Chumbawamba,Tubthumping,1997
4673,70,R. Kelly,Gotham City,1997
4674,71,Az Yet,Last Night,1997
4675,72,Various Artists,ESPN Presents The Jock Jam,1997
4676,73,Heavy D,Big Daddy,1997
4677,74,Total,What About Us,1997
4678,75,Scarface,Smile,1997
4679,76,Montell Jordan,What’s On Tonight,1997
4680,77,Bruce Springsteen,Secret Garden,1997
4681,78,Aaliyah,The One I Gave My Heart To,1997
4682,79,Seal,Fly Like An Eagle,1997
4683,80,Lil’ Kim,No Time,1997
4684,81,Luscious Jackson,Naked Eye,1997
4685,82,Los Del Rio,Macarena (Bayside Boys Mix),1997
4686,83,Erykah Badu,On & On,1997
4687,84,Joe,Don’t Wanna Be A Player,1997
4688,85,Warren G,I Shot The Sheriff,1997
4689,86,Brian McKnight feat. Mase,You Should Be Mine (Don’t Waste Your Time),1997
4690,87,Madonna,Don’t Cry For Me Argentina,1997
4691,88,SWV,Someone,1997
4692,89,Michael Bolton,Go The Distance,1997
4693,90,Real McCoy,One More Time,1997
4694,91,Next,Butta Love,1997
4695,92,Mr. President,Coco Jamboo,1997
4696,93,Keith Sweat,Twisted,1997
4697,94,Aqua,Barbie Girl,1997
4698,95,Cranberries,When You’re Gone / Free To Decide,1997
4699,96,DJ Kool,Let Me Clear My Throat,1997
4700,97,Blackout Allstars,I Like It,1997
4701,98,Toni Braxton,You’re Makin’ Me High / Let It Flow,1997
4702,99,Madonna,You Must Love Me,1997
4703,100,Ray J,Let It Go,1997
4704,1,Next,Too Close,1998
4705,2,Brandy and Monica,The Boy Is Mine,1998
4706,3,Shania Twain,You’re Still The One,1998
4707,4,Savage Garden,Truly Madly Deeply,1998
4708,5,LeAnn Rimes,How Do I Live,1998
4709,6,Janet,Together Again,1998
4710,7,K-Ci and JoJo,All My Life,1998
4711,8,Elton John,Candle In The Wind 1997,1998
4712,9,Usher,Nice & Slow,1998
4713,10,Paula Cole,I Don’t Want To Wait,1998
4714,11,Third Eye Blind,How’s It Going To Be,1998
4715,12,Destiny’s Child,"No, No, No",1998
4716,13,Celine Dion,My Heart Will Go On,1998
4717,14,Will Smith,Gettin’ Jiggy Wit It,1998
4718,15,Usher,You Make Me Wanna…,1998
4719,16,Usher,My Way,1998
4720,17,Mariah Carey,My All,1998
4721,18,Monica,The First Night,1998
4722,19,Puff Daddy and The Family,Been Around The World,1998
4723,20,Sarah McLachlan,Adia,1998
4724,21,Jennifer Paige,Crush,1998
4725,22,Backstreet Boys,Everybody (Backstreet’s Back),1998
4726,23,Aerosmith,I Don’t Want To Miss A Thing,1998
4727,24,Public Announcement,Body Bumpin Yippie-Yi-Yo,1998
4728,25,Faith Hill,This Kiss,1998
4729,26,Uncle Sam,I Don’t Ever Want To See You Again,1998
4730,27,Montell Jordan,Let’s Ride,1998
4731,28,Marcy Playground,Sex And Candy,1998
4732,29,Robyn,Show Me Love,1998
4733,30,Boyz II Men,A Song For Mama,1998
4734,31,Mase,What You Want,1998
4735,32,Madonna,Frozen,1998
4736,33,Wyclef Jean,Gone Till November,1998
4737,34,Lsg,My Body,1998
4738,35,Chumbawamba,Tubthumping,1998
4739,36,Lord Tariq and Peter Gunz,Deja Vu (Uptown Baby),1998
4740,37,‘N Sync,I Want You Back,1998
4741,38,Five,When The Lights Go Out,1998
4742,39,Jon B.,They Don’t Know,1998
4743,40,Master P,Make Em’ Say Uhh!,1998
4744,41,Nicole feat. Missy “Misdemeanor” Elliott and Mocha,Make It Hot,1998
4745,42,All Saints,Never Ever,1998
4746,43,Janet,I Get Lonely,1998
4747,44,Mase,Feel So Good,1998
4748,45,Voices Of Theory,Say It,1998
4749,46,Billie Myers,Kiss The Rain,1998
4750,47,Puff Daddy,Come With Me,1998
4751,48,Sylk-E Fyne,Romeo And Juliet,1998
4752,49,Mya and Sisqo,It’s All About Me,1998
4753,50,Hanson,I Will Come To You,1998
4754,51,Barenaked Ladies,One Week,1998
4755,52,K.P. and Envyi,Swing My Way,1998
4756,53,Xscape,The Arms Of The One Who Loves You,1998
4757,54,Somethin’ For The People,My Love Is The Shhh!,1998
4758,55,Tatyana Ali,Daydreamin’,1998
4759,56,Dru Hill,We’re Not Making Love No More,1998
4760,57,Third Eye Blind,Semi-Charmed Life,1998
4761,58,Lisa Loeb,I Do,1998
4762,59,Mase,Lookin’ At Me,1998
4763,60,LeAnn Rimes,Looking Through Your Eyes,1998
4764,61,Divine,Lately,1998
4765,62,Backstreet Boys,Quit Playing Games (With My Heart),1998
4766,63,Next,I Still Love You,1998
4767,64,Inoj,Time After Time,1998
4768,65,Jimmy Ray,Are You Jimmy Ray?,1998
4769,66,Ace Of Base,Cruel Summer,1998
4770,67,Master P,I Got The Hook Up!,1998
4771,68,Puff Daddy and The Family,Victory,1998
4772,69,Spice Girls,Too Much,1998
4773,70,Pras Feat. Ol’ Dirty Bastard and Mya,Ghetto Supastar (That Is What You Are),1998
4774,71,Dru Hill feat. Redman,How Deep Is Your Love,1998
4775,72,Kelly Price,Friend Of Mine,1998
4776,73,Busta Rhymes,Turn It Up [Remix] / Fire It Up,1998
4777,74,Edwin McCain,I’ll Be,1998
4778,75,Madonna,Ray Of Light,1998
4779,76,Sister Hazel,All For You,1998
4780,77,Monifah,Touch It,1998
4781,78,Lox,"Money, Power & Respect",1998
4782,79,The Verve,Bitter Sweet Symphony,1998
4783,80,Busta Rhymes,Dangerous,1998
4784,81,Spice Girls,Spice Up Your Life,1998
4785,82,98 Degrees,Because Of You,1998
4786,83,Loreena McKennitt,The Mummers’ Dance,1998
4787,84,Allure feat. 112,All Cried Out,1998
4788,85,Big Punisher feat. Joe,Still Not A Player,1998
4789,86,Aaliyah,The One I Gave My Heart To,1998
4790,87,Jewel,Foolish Games / You Were Meant For Me,1998
4791,88,Inoj,Love You Down,1998
4792,89,2Pac,Do For Love,1998
4793,90,Luke,Raise The Roof,1998
4794,91,Nu Flavor,Heaven,1998
4795,92,Jd,The Party Continues,1998
4796,93,Missy “Misdemeanor” Elliott feat. Da Brat,Sock It 2 Me,1998
4797,94,Next,Butta Love,1998
4798,95,Aretha Franklin,A Rose Is Still A Rose,1998
4799,96,Boyz II Men,4 Seasons Of Loneliness,1998
4800,97,LL Cool J,Father,1998
4801,98,Gerald Levert,Thinkin’ Bout It,1998
4802,99,Deborah Cox,Nobody’s Supposed To Be Here,1998
4803,100,TQ,Westside,1998
4804,1,Cher,Believe,1999
4805,2,TLC,No Scrubs,1999
4806,3,Monica,Angel Of Mine,1999
4807,4,Whitney Houston,Heartbreak Hotel,1999
4808,5,Britney Spears,…Baby One More Time,1999
4809,6,Sixpence None The Richer,Kiss Me,1999
4810,7,Christina Aguilera,Genie In A Bottle,1999
4811,8,Sugar Ray,Every Morning,1999
4812,9,Deborah Cox,Nobody’s Supposed To Be Here,1999
4813,10,Ricky Martin,Livin’ La Vida Loca,1999
4814,11,702,Where My Girls At?,1999
4815,12,Jennifer Lopez,If You Had My Love,1999
4816,13,Goo Goo Dolls,Slide,1999
4817,14,Brandy,Have You Ever?,1999
4818,15,Backstreet Boys,I Want It That Way,1999
4819,16,R. Kelly and Celine Dion,I’m Your Angel,1999
4820,17,Smash Mouth,All Star,1999
4821,18,Sarah McLachlan,Angel,1999
4822,19,Santana feat. Rob Thomas,Smooth,1999
4823,20,TLC,Unpretty,1999
4824,21,Destiny’s Child,"Bills, Bills, Bills",1999
4825,22,Eagle-Eye Cherry,Save Tonight,1999
4826,23,Pearl Jam,Last Kiss,1999
4827,24,Maxwell,Fortunate,1999
4828,25,Backstreet Boys,All I Have To Give,1999
4829,26,Enrique Iglesias,Bailamos,1999
4830,27,Busta Rhymes feat. Janet,What’s It Gonna Be?!,1999
4831,28,Everlast,What It’s Like,1999
4832,29,Lenny Kravitz,Fly Away,1999
4833,30,Sugar Ray,Someday,1999
4834,31,Divine,Lately,1999
4835,32,Shania Twain,That Don’t Impress Me Much,1999
4836,33,Will Smith feat. Dru Hill and Kool Moe Dee,Wild Wild West,1999
4837,34,Red Hot Chili Peppers,Scar Tissue,1999
4838,35,Mariah Carey feat. Jay-Z,Heartbreaker,1999
4839,36,Mariah Carey,I Still Believe,1999
4840,37,98 Degrees,The Hardest Thing,1999
4841,38,LFO,Summer Girls,1999
4842,39,Jay-Z feat. Amil (Of Major Coinz) and Ja,Can I Get A…,1999
4843,40,Third Eye Blind,Jumper,1999
4844,41,Lauryn Hill,Doo Wop (That Thing),1999
4845,42,Lou Bega,Mambo No. 5 (A Little Bit Of…),1999
4846,43,Tyrese,Sweet Lady,1999
4847,44,Whitney Houston,It’s Not Right But It’s Okay,1999
4848,45,‘N Sync,(God Must Have Spent) A Little More Time On You,1999
4849,46,Shawn Mullins,Lullaby,1999
4850,47,112 feat. Lil’Z,Anywhere,1999
4851,48,K-Ci and JoJo,Tell Me It’s Real,1999
4852,49,Matchbox 20,Back 2 Good,1999
4853,50,Blaque,808,1999
4854,51,Tal Bachman,She’s So High,1999
4855,52,Ricky Martin,She’s All I Ever Had,1999
4856,53,Will Smith,Miami,1999
4857,54,Jewel,Hands,1999
4858,55,JT Money feat. Sole,Who Dat,1999
4859,56,Tim McGraw,Please Remember Me,1999
4860,57,Shania Twain,From This Moment On,1999
4861,58,Faith Evans,Love Like This,1999
4862,59,Jesse Powell,You,1999
4863,60,Total feat. Missy Elliott,Trippin’,1999
4864,61,Silk,If You (Lovin’ Me),1999
4865,62,Lauryn Hill,Ex-Factor,1999
4866,63,Jordan Knight,Give It To You,1999
4867,64,Goo Goo Dolls,Black Balloon,1999
4868,65,Eric Benet feat. Tamia,Spend My Life With You,1999
4869,66,Dru Hill,These Are The Times,1999
4870,67,Mark Chesnutt,I Don’t Want To Miss A Thing,1999
4871,68,98 Degrees,I Do (Cherish You),1999
4872,69,98 Degrees,Because Of You,1999
4873,70,Sarah McLachlan,I Will Remember You (Live),1999
4874,71,Chante Moore,Chante’s Got A Man,1999
4875,72,Case,Happily Ever After,1999
4876,73,Whitney Houston,My Love Is Your Love,1999
4877,74,Faith Evans feat. Puff Daddy,All Night Long,1999
4878,75,Juvenile feat. Mannie Fresh and Lil’ Wayne,Back That Thang Up,1999
4879,76,Brandy,Almost Doesn’t Count,1999
4880,77,Shania Twain,Man! I Feel Like A Woman!,1999
4881,78,Len,Steal My Sunshine,1999
4882,79,Marc Anthony,I Need To Know,1999
4883,80,Ginuwine,So Anxious,1999
4884,81,Case and Joe,Faded Pictures,1999
4885,82,Brian McKnight,Back At One,1999
4886,83,R. Kelly,When A Woman’s Fed Up,1999
4887,84,Kenny Chesney,How Forever Feels,1999
4888,85,Lonestar,Amazed,1999
4889,86,Britney Spears,Sometimes,1999
4890,87,Mo Thugs Family feat. Bone Thugs-N-Harmony,Ghetto Cowboy,1999
4891,88,Fastball,Out Of My Head,1999
4892,89,Jay-Z,Hard Knock Life (Ghetto Anthem),1999
4893,90,Naughty By Nature feat. Zhane,Jamboree,1999
4894,91,BLACKstreet and Mya feat. Mase and Blinky Blink,Take Me There,1999
4895,92,Joey McIntyre,Stay The Same,1999
4896,93,Jo Dee Messina,Lesson In Leavin’,1999
4897,94,Goo Goo Dolls,Iris,1999
4898,95,Puff Daddy feat. R. Kelly,Satisfy You,1999
4899,96,Citizen King,Better Days (And The Bottom Drops Out),1999
4900,97,N Sync and Gloria Estefan,Music Of My Heart,1999
4901,98,George Strait,Write This Down,1999
4902,99,Whitney Houston and Mariah Carey,When You Believe,1999
4903,100,Alabama feat. ‘N Sync,God Must Have Spent A Little More Time On You,1999
4904,1,Faith Hill,Breathe,2000
4905,2,Santana feat. Rob Thomas,Smooth,2000
4906,3,Santana feat. The Product GandB,Maria Maria,2000
4907,4,Joe,I Wanna Know,2000
4908,5,Vertical Horizon,Everything You Want,2000
4909,6,Destiny’s Child,Say My Name,2000
4910,7,Savage Garden,I Knew I Loved You,2000
4911,8,Lonestar,Amazed,2000
4912,9,matchbox twenty,Bent,2000
4913,10,Toni Braxton,He Wasn’t Man Enough,2000
4914,11,Creed,Higher,2000
4915,12,Aaliyah,Try Again,2000
4916,13,Destiny’s Child,Jumpin Jumpin’,2000
4917,14,Sisqo,Thong Song,2000
4918,15,3 Doors Down,Kryptonite,2000
4919,16,Pink,There You Go,2000
4920,17,Madonna,Music,2000
4921,18,Janet,Doesn’t Really Matter,2000
4922,19,Christina Aguilera,What A Girl Wants,2000
4923,20,Brian McKnight,Back At One,2000
4924,21,‘N Sync,Bye Bye Bye,2000
4925,22,Marc Anthony,You Sang To Me,2000
4926,23,Marc Anthony,I Need To Know,2000
4927,24,Montell Jordan,Get It On Tonite,2000
4928,25,Sisqo,Incomplete,2000
4929,26,Macy Gray,I Try,2000
4930,27,‘N Sync,It’s Gonna Be Me,2000
4931,28,Celine Dion,That’s The Way It Is,2000
4932,29,Nelly,(Hot S**T) Country Grammar,2000
4933,30,Blaque,Bring It All To Me,2000
4934,31,Backstreet Boys,Show Me The Meaning Of Being Lonely,2000
4935,32,"Missy Elliott feat. Nas, EVE and Q-Tip",Hot Boyz,2000
4936,33,BBMak,Back Here,2000
4937,34,Sonique,It Feels So Good,2000
4938,35,Nine Days,Absolutely (Story Of A Girl),2000
4939,36,Creed,With Arms Wide Open,2000
4940,37,Enrique Iglesias,Be With You,2000
4941,38,Christina Aguilera,Come On Over Baby (All I Want Is You),2000
4942,39,Ruff Endz,No More,2000
4943,40,Blink 182,All The Small Things,2000
4944,41,Faith Hill,The Way You Love Me,2000
4945,42,Christina Aguilera,I Turn To You,2000
4946,43,Third Eye Blind,Never Let You Go,2000
4947,44,LeAnn Rimes,I Need You,2000
4948,45,Mariah Carey feat. Joe and 98 Degrees,Thank God I Found You,2000
4949,46,Jagged Edge,Let’s Get Married,2000
4950,47,Whitney Houston,My Love Is Your Love,2000
4951,48,Smash Mouth,Then The Morning Comes,2000
4952,49,iffel 65,Blue (Da Ba Dee),2000
4953,50,Sting feat. Cheb Mami,Desert Rose,2000
4954,51,Eminem,The Real Slim Shady,2000
4955,52,Pink,Most Girls,2000
4956,53,Next,Wifey,2000
4957,54,Everclear,Wonderful,2000
4958,55,Britney Spears,Oops!… I Did It Again,2000
4959,56,Jessica Simpson,I Wanna Love You Forever,2000
4960,57,98 Degrees,Give Me Just One Night (Una Noche ),2000
4961,58,Filter,Take A Picture,2000
4962,59,Red Hot Chili Peppers,Otherside,2000
4963,60,Jay-Z feat. UGK,Big Pimpin’,2000
4964,61,Son By Four,Purest Of Pain (A Puro Dolor),2000
4965,62,Jagged Edge,He Can’t Love U,2000
4966,63,Avant,Separated,2000
4967,64,Carl Thomas,I Wish,2000
4968,65,Donell Jones,U Know What’s Up,2000
4969,66,SoulDecision feat. Thrust,Faded,2000
4970,67,Kid Rock,Only God Knows Why,2000
4971,68,Mystikal,Shake Ya Ass,2000
4972,69,Erykah Badu,Bag Lady,2000
4973,70,Train,Meet Virginia,2000
4974,71,DMX,Party Up (Up In Here),2000
4975,72,Mya,Case Of The Ex (Whatcha Gonna Do),2000
4976,73,Dr. Dre feat. Eminem,Forget About Dre,2000
4977,74,Jo Dee Messina,That’s The Way,2000
4978,75,Westlife,Swear It Again,2000
4979,76,Dr. Dre feat. Snoop Dogg,The Next Episode,2000
4980,77,Britney Spears,From The Bottom Of My Broken Heart,2000
4981,78,Savage Garden,Crash And Burn,2000
4982,79,Chad Brock,Yes!,2000
4983,80,George Strait,The Best Day,2000
4984,81,Donell Jones,Where I Wanna Be,2000
4985,82,Toby Keith,How Do You Like Me Now?!,2000
4986,83,Tim McGraw,My Best Friend,2000
4987,84,Goo Goo Dolls,Broadway,2000
4988,85,Da Brat feat. Tyrese,What’chu Like,2000
4989,86,Kandi,Don’t Think I’m Not,2000
4990,87,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2000
4991,88,Alice Deejay,Better Off Alone,2000
4992,89,Debelah Morgan,Dance With Me,2000
4993,90,Lonestar,What About Now,2000
4994,91,Sammie,I Like It,2000
4995,92,Kevon Edmonds,24/7,2000
4996,93,LFO,Girl On TV,2000
4997,94,Lil Bow Wow feat. Xscape,Bounce With Me,2000
4998,95,Dixie Chicks,Cowboy Take Me Away,2000
4999,96,Aaliyah,I Don’t Wanna,2000
5000,97,Destiny’s Child,Independent Women Part I,2000
5001,98,Samantha Mumba,Gotta Tell You,2000
5002,99,Jennifer Lopez,Waiting For Tonight,2000
5003,100,Mary Mary,Shackles (Praise You),2000
5004,1,Lifehouse,Hanging By A Moment,2001
5005,2,Alicia Keys,Fallin’,2001
5006,3,Janet,All For You,2001
5007,4,Train,Drops Of Jupiter (Tell Me),2001
5008,5,Jennifer Lopez feat. Ja Rule,I’m Real,2001
5009,6,matchbox twenty,If You’re Gone,2001
5010,7,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,2001
5011,8,Dido,Thank You,2001
5012,9,Lenny Kravitz,Again,2001
5013,10,Destiny’s Child,Independent Women Part I,2001
5014,11,Blu Cantrell,Hit ‘Em Up Style (Oops!),2001
5015,12,Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me,2001
5016,13,Joe feat. Mystikal,Stutter,2001
5017,14,Staind,It’s Been Awhile,2001
5018,15,Usher,U Remind Me,2001
5019,16,Jagged Edge With Nelly,Where The Party At,2001
5020,17,Shaggy feat. Rayvon,Angel,2001
5021,18,Nelly feat. City Spud,Ride Wit Me,2001
5022,19,Uncle Kracker,Follow Me,2001
5023,20,112,Peaches & Cream,2001
5024,21,Incubus,Drive,2001
5025,22,City High,What Would You Do?,2001
5026,23,Destiny’s Child,Survivor,2001
5027,24,"Christina Aguilera, Lil’ Kim, Mya and Pink",Lady Marmalade,2001
5028,25,Outkast,Ms. Jackson,2001
5029,26,Jennifer Lopez,Love Don’t Cost A Thing,2001
5030,27,Faith Hill,The Way You Love Me,2001
5031,28,Dream,He Loves U Not,2001
5032,29,Crazy Town,Butterfly,2001
5033,30,Ja Rule feat. Lil’ Mo and Vita,Put It On Me,2001
5034,31,Mary J. Blige,Family Affair,2001
5035,32,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,2001
5036,33,Moby feat. Gwen Stefani,South Side,2001
5037,34,Madonna,Don’t Tell Me,2001
5038,35,Missy “Misdemeanor” Elliott,Get Ur Freak On,2001
5039,36,K-Ci and JoJo,Crazy,2001
5040,37,Craig David,Fill Me In,2001
5041,38,Janet,Someone To Call My Lover,2001
5042,39,Creed,With Arms Wide Open,2001
5043,40,Mya,Case Of The Ex (Whatcha Gonna Do),2001
5044,41,O-Town,All Or Nothing,2001
5045,42,Destiny’s Child,Bootylicious,2001
5046,43,Nelly Furtado,I’m Like A Bird,2001
5047,44,3 Doors Down,Kryptonite,2001
5048,45,R. Kelly feat. Jay-Z,Fiesta,2001
5049,46,Sugar Ray,When It’s Over,2001
5050,47,Aerosmith,Jaded,2001
5051,48,Jagged Edge,Promise,2001
5052,49,Case,Missing You,2001
5053,50,Ginuwine,Differences,2001
5054,51,‘N Sync,This I Promise You,2001
5055,52,Jay-Z,Izzo (H.O.V.A.),2001
5056,53,Lil’ Mo feat. Fabolous,Superwoman Pt. II,2001
5057,54,Evan And Jaron,Crazy For This Girl,2001
5058,55,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely,2001
5059,56,Jay-Z,I Just Wanna Love U (Give It 2 Me),2001
5060,57,Missy “Misdemeanor” Elliott,One Minute Man,2001
5061,58,Mystikal feat. Nivea,Danger (Been So Long),2001
5062,59,Enya,Only Time,2001
5063,60,Toya,I Do!!,2001
5064,61,S Club 7,Never Had A Dream Come True,2001
5065,62,Tamia,Stranger In My House,2001
5066,63,Jessica Simpson,Irresistible,2001
5067,64,Sunshine Anderson,Heard It All Before,2001
5068,65,Dave Matthews Band,The Space Between,2001
5069,66,Faith Hill,There You’ll Be,2001
5070,67,Musiq Soulchild,Love,2001
5071,68,112,It’s Over Now,2001
5072,69,3LW,No More (Baby I’ma Do Right),2001
5073,70,Nelly Furtado,Turn Off The Light,2001
5074,71,Brooks and Dunn,Ain’t Nothing `Bout You,2001
5075,72,Jennifer Lopez,Play,2001
5076,73,Lonestar,I’m Already There,2001
5077,74,Lil’ Romeo,My Baby,2001
5078,75,U2,Beautiful Day,2001
5079,76,Blake Shelton,Austin,2001
5080,77,Ludacris,Southern Hospitality,2001
5081,78,Tim McGraw,Grown Men Don’t Cry,2001
5082,79,Ja Rule feat. Case,Livin’ It Up,2001
5083,80,Mariah Carey feat. Cameo,Loverboy,2001
5084,81,Isley Brothers feat. Ronald Isley AKA Mr. Biggs,Contagious,2001
5085,82,Jessica Andrews,Who I Am,2001
5086,83,Erick Sermon feat. Marvin Gaye,Music,2001
5087,84,Willa Ford,I Wanna Be Bad,2001
5088,85,Kenny Chesney,Don’t Happen Twice,2001
5089,86,Diamond Rio,One More Day,2001
5090,87,R. Kelly,I Wish,2001
5091,88,Travis Tritt,It’s A Great Day To Be Alive,2001
5092,89,Trick Daddy,I’m A Thug,2001
5093,90,Eve 6,Here’s To The Night,2001
5094,91,Toby Keith,You Shouldn’t Kiss Me Like This,2001
5095,92,Eden’s Crush,Get Over Yourself,2001
5096,93,Debelah Morgan,Dance With Me,2001
5097,94,Outkast,"So Fresh, So Clean",2001
5098,95,Nelly,E.I.,2001
5099,96,3 Doors Down,Be Like That,2001
5100,97,Pink,Most Girls,2001
5101,98,QB’s Finest feat. Nas and Braveheart’s,Oochie Wally,2001
5102,99,Enrique Iglesias,Hero,2001
5103,100,Fuel,Hemorrhage (In My Hands),2001
5104,1,Nickelback,How Your Remind Me,2002
5105,2,Ashanti,Foolish,2002
5106,3,Nelly,Hot in Herre,2002
5107,4,Nelly feat. Kelly Rowland,Dilemma,2002
5108,5,The Calling,Wherever you Will Go,2002
5109,6,Vanessa Carlton,A Thousand Miles,2002
5110,7,Linkin Park,In the End,2002
5111,8,Fat Joe feat. Ashanti,What’s Luv?,2002
5112,9,Usher,U Got it Bad,2002
5113,10,Puddle Of Mudd,Blurry,2002
5114,11,Avril Lavigne,Complicated,2002
5115,12,Ja Rule feat. Ashanti,Always on Time,2002
5116,13,Jennifer Lopez feat. Ja Rule,Ain’t it Funny,2002
5117,14,Jimmy Eat World,The Middle,2002
5118,15,P. Diddy feat. Usher and Loon,I Need a Girl (Part One),2002
5119,16,Usher,U Don’t have to Call,2002
5120,17,Mary J. Blige,Family Affair,2002
5121,18,"P. Diddy and Ginuwine feat. Loon, Mario Winans and Tammy Ruggeri",I Need a Girl (Part Two),2002
5122,19,Eve feat. Alicia Keys,Gangsta Lovin’,2002
5123,20,Creed,My Sacrifice,2002
5124,21,Eminem,Without Me,2002
5125,22,Enrique Iglesias,Hero,2002
5126,23,Michelle Branch,All You Wanted,2002
5127,24,Pink,Get the Party Started,2002
5128,25,Chad Kroeger feat. Josey Scott,Hero,2002
5129,26,Default,Wasting My Time,2002
5130,27,Creed,One Last Breath,2002
5131,28,Shakira,"Whenever, Wherever",2002
5132,29,Jennifer Lopez feat. Nas,I’m Gonna Be Alright,2002
5133,30,Cam’ron feat. Juelz Santana,Oh Boy,2002
5134,31,DJ Sammy and Yanou feat. Do,Heaven,2002
5135,32,No Doubt feat. Bounty Killer,Hey Baby,2002
5136,33,‘N Sync feat. Nelly,Girlfriend,2002
5137,34,Mario,Just a Friend 2002,2002
5138,35,Sheryl Crow,Soak up the Sun,2002
5139,36,Pink,Don’t Let Me Get Me,2002
5140,37,N.O.R.E.,Nothin’,2002
5141,38,Tweet,Oops (Oh My),2002
5142,39,Kelly Clarkson,A Moment Like This,2002
