,Rank,Artist,Song,Year
278,24,Arthur Godfrey,Too Fat Polka,1948
279,25,Ella Fitzgerald,My Happiness,1948
280,26,Perry Como,Because,1948
281,27,Sammy Kaye,Serenade Of The Bells,1948
282,28,Tommy Dorsey,Until,1948
283,29,Spike Jones,William Tell Overture,1948
284,30,Frankie Carle,Beg Your Pardon,1948
285,31,Tex Beneke,St. Louis Blues March,1948
286,32,Primo Scala,Underneath The Arches,1948
287,33,Kay Kyser,On a Slow Boat to China,1948
288,34,Sportsmen and Mel Blanc,Woody Woodpecker,1948
289,35,Ray Noble,I’ll Dance at Your Wedding,1948
290,36,Freddy Martin,The Dickey-Bird Song,1948
291,37,Russ Morgan and Milt Herth,I’m Looking Over A Four Leaf Clover,1948
292,38,Vaughn Monroe,How Soon,1948
293,39,Jo Stafford,Serenade Of The Bells,1948
294,1,Vaughn Monroe,Riders In The Sky,1949
295,2,Frankie Laine,That Lucky Old Sun,1949
296,3,Vic Damone,You’re Breaking My Heart,1949
297,4,Perry Como,Some Enchanted Evening,1949
298,5,Jimmy Wakely and Margaret Whiting,Slipping Around,1949
299,6,The Andrews Sisters and Gordon Jenkins,"I Can Dream, Can’t I",1949
300,7,Russ Morgan,Cruising Down the River,1949
301,8,Evelyn Knight,A Little Bird Told Me,1949
302,9,Frankie Laine,Mule Train,1949
303,10,Al Morgan,Jealous Heart,1949
304,11,The Blue Barron,Cruising Down The River,1949
305,12,Vaughn Monroe,Someday,1949
306,13,Gordon Jenkins,Again,1949
307,14,Russ Morgan,Forever & Ever,1949
308,15,Perry Como,Forever & Ever,1949
309,16,Gordon Jenkins,"Don’t Cry, Joe",1949
310,17,Sammy Kaye,Room Full Of Roses,1949
311,18,Bing Crosby,Far Away Places,1949
312,19,Dinah Shore,Buttons & Bows,1949
313,20,Bing Crosby,Galway Bay,1949
314,21,Vaughn Monroe,Red Roses For A Blue Lady,1949
315,22,Russ Morgan,So Tired,1949
316,23,Evelyn Knight,Powder Your Face With Sunshine,1949
317,24,Johnny Mercer and Margaret Whiting,"Baby, It’s Cold Outside",1949
318,25,Jo Stafford and Gordon MacRae,Whispering Hope,1949
319,26,Sammy Kaye,Careless Hands,1949
320,27,Perry Como and The Fontane Sisters,‘A’ You’re Adorable,1949
321,28,Dick Haymes,Maybe It’s Because,1949
322,29,Tommy Dorsey and Charlie Shavers,The Hucklebuck,1949
323,30,Gordon Jenkins,I Don’t See Me In Your Eyes Any More,1949
